Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
14,ca-2016-161389,2016-12-05,2016-12-10,standard class,im-15070,irene maddox,consumer,united states,seattle,washington,98103,west,off-bi-10003656,office supplies,binders,fellowes pb200 plastic comb binding machine,407.976,3,0.2,132.5922
15,us-2015-118983,2015-11-22,2015-11-26,standard class,hp-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,off-ap-10002311,office supplies,appliances,"holmes replacement filter for hepa air cleaner, very large room, hepa filter",68.81,5,0.8,-123.858
16,us-2015-118983,2015-11-22,2015-11-26,standard class,hp-14815,harold pawlan,home office,united states,fort worth,texas,76106,central,off-bi-10000756,office supplies,binders,storex duratech recycled plastic frosted binders,2.544,3,0.8,-3.816
17,ca-2014-105893,2014-11-11,2014-11-18,standard class,pk-19075,pete kriz,consumer,united states,madison,wisconsin,53711,central,off-st-10004186,office supplies,storage,"stur-d-stor shelving, vertical 5-shelf: 72""h x 36""w x 18 1/2""d",665.88,6,0.0,13.3176
19,ca-2014-143336,2014-08-27,2014-09-01,second class,zd-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,off-ar-10003056,office supplies,art,newell 341,8.56,2,0.0,2.4824
20,ca-2014-143336,2014-08-27,2014-09-01,second class,zd-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,tec-ph-10001949,technology,phones,cisco spa 501g ip phone,213.48,3,0.2,16.011
21,ca-2014-143336,2014-08-27,2014-09-01,second class,zd-21925,zuschuss donatelli,consumer,united states,san francisco,california,94109,west,off-bi-10002215,office supplies,binders,"wilson jones hanging view binder, white, 1""",22.72,4,0.2,7.384
22,ca-2016-137330,2016-12-09,2016-12-13,standard class,kb-16585,ken black,corporate,united states,fremont,nebraska,68025,central,off-ar-10000246,office supplies,art,newell 318,19.46,7,0.0,5.0596
24,us-2017-156909,2017-07-16,2017-07-18,second class,sf-20065,sandra flanagan,consumer,united states,philadelphia,pennsylvania,19140,east,fur-ch-10002774,furniture,chairs,"global deluxe stacking chair, gray",71.372,2,0.3,-1.0196
25,ca-2015-106320,2015-09-25,2015-09-30,standard class,eb-13870,emily burns,consumer,united states,orem,utah,84057,west,fur-ta-10000577,furniture,tables,bretford cr4500 series slim rectangular table,1044.63,3,0.0,240.2649
26,ca-2016-121755,2016-01-16,2016-01-20,second class,eh-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,off-bi-10001634,office supplies,binders,wilson jones active use binders,11.648,2,0.2,4.2224
27,ca-2016-121755,2016-01-16,2016-01-20,second class,eh-13945,eric hoffmann,consumer,united states,los angeles,california,90049,west,tec-ac-10003027,technology,accessories,imation 8gb mini traveldrive usb 2.0 flash drive,90.57,3,0.0,11.7741
28,us-2015-150630,2015-09-17,2015-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,fur-bo-10004834,furniture,bookcases,"riverside palais royal lawyers bookcase, royale cherry finish",3083.43,7,0.5,-1665.0522
29,us-2015-150630,2015-09-17,2015-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-bi-10000474,office supplies,binders,avery recycled flexi-view covers for binding systems,9.618,2,0.7,-7.0532
30,us-2015-150630,2015-09-17,2015-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,fur-fu-10004848,furniture,furnishings,"howard miller 13-3/4"" diameter brushed chrome round wall clock",124.2,3,0.2,15.525
31,us-2015-150630,2015-09-17,2015-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-en-10001509,office supplies,envelopes,poly string tie envelopes,3.264,2,0.2,1.1016
32,us-2015-150630,2015-09-17,2015-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-ar-10004042,office supplies,art,"boston model 1800 electric pencil sharpeners, putty/woodgrain",86.304,6,0.2,9.7092
33,us-2015-150630,2015-09-17,2015-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-bi-10001525,office supplies,binders,"acco pressboard covers with storage hooks, 14 7/8"" x 11"", executive red",6.858,6,0.7,-5.715
34,us-2015-150630,2015-09-17,2015-09-21,standard class,tb-21520,tracy blumstein,consumer,united states,philadelphia,pennsylvania,19140,east,off-ar-10001683,office supplies,art,lumber crayons,15.76,2,0.2,3.546
35,ca-2017-107727,2017-10-19,2017-10-23,second class,ma-17560,matt abelman,home office,united states,houston,texas,77095,central,off-pa-10000249,office supplies,paper,easy-staple paper,29.472,3,0.2,9.9468
36,ca-2016-117590,2016-12-08,2016-12-10,first class,gh-14485,gene hale,corporate,united states,richardson,texas,75080,central,tec-ph-10004977,technology,phones,ge 30524ee4,1097.544,7,0.2,123.4737
37,ca-2016-117590,2016-12-08,2016-12-10,first class,gh-14485,gene hale,corporate,united states,richardson,texas,75080,central,fur-fu-10003664,furniture,furnishings,"electrix architect's clamp-on swing arm lamp, black",190.92,5,0.6,-147.963
38,ca-2015-117415,2015-12-27,2015-12-31,standard class,sn-20710,steve nguyen,home office,united states,houston,texas,77041,central,off-en-10002986,office supplies,envelopes,"#10-4 1/8"" x 9 1/2"" premium diagonal seam envelopes",113.328,9,0.2,35.415
39,ca-2015-117415,2015-12-27,2015-12-31,standard class,sn-20710,steve nguyen,home office,united states,houston,texas,77041,central,fur-bo-10002545,furniture,bookcases,"atlantic metals mobile 3-shelf bookcases, custom colors",532.3992,3,0.32,-46.9764
40,ca-2015-117415,2015-12-27,2015-12-31,standard class,sn-20710,steve nguyen,home office,united states,houston,texas,77041,central,fur-ch-10004218,furniture,chairs,"global fabric manager's chair, dark gray",212.058,3,0.3,-15.147
42,ca-2017-120999,2017-09-10,2017-09-15,standard class,lc-16930,linda cazamias,corporate,united states,naperville,illinois,60540,central,tec-ph-10004093,technology,phones,panasonic kx-ts550,147.168,4,0.2,16.5564
43,ca-2016-101343,2016-07-17,2016-07-22,standard class,ra-19885,ruben ausman,corporate,united states,los angeles,california,90049,west,off-st-10003479,office supplies,storage,"eldon base for stackable storage shelf, platinum",77.88,2,0.0,3.894
44,ca-2017-139619,2017-09-19,2017-09-23,standard class,es-14080,erin smith,corporate,united states,melbourne,florida,32935,south,off-st-10003282,office supplies,storage,"advantus 10-drawer portable organizer, chrome metal frame, smoke drawers",95.616,2,0.2,9.5616
45,ca-2016-118255,2016-03-11,2016-03-13,first class,on-18715,odella nelson,corporate,united states,eagan,minnesota,55122,central,tec-ac-10000171,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 25/pack",45.98,2,0.0,19.7714
46,ca-2016-118255,2016-03-11,2016-03-13,first class,on-18715,odella nelson,corporate,united states,eagan,minnesota,55122,central,off-bi-10003291,office supplies,binders,wilson jones leather-like binders with dubllock round rings,17.46,2,0.0,8.2062
47,ca-2014-146703,2014-10-20,2014-10-25,second class,po-18865,patrick o'donnell,consumer,united states,westland,michigan,48185,central,off-st-10001713,office supplies,storage,"gould plastics 9-pocket panel bin, 18-3/8w x 5-1/4d x 20-1/2h, black",211.96,4,0.0,8.4784
48,ca-2016-169194,2016-06-20,2016-06-25,standard class,lh-16900,lena hernandez,consumer,united states,dover,delaware,19901,east,tec-ac-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,45.0,3,0.0,4.95
49,ca-2016-169194,2016-06-20,2016-06-25,standard class,lh-16900,lena hernandez,consumer,united states,dover,delaware,19901,east,tec-ph-10003988,technology,phones,"lf elite 3d dazzle designer hard case cover, lf stylus pen and wiper for apple iphone 5c mini lite",21.8,2,0.0,6.104
50,ca-2015-115742,2015-04-18,2015-04-22,standard class,dp-13000,darren powers,consumer,united states,new albany,indiana,47150,central,off-bi-10004410,office supplies,binders,"c-line peel & stick add-on filing pockets, 8-3/4 x 5-1/8, 10/pack",38.22,6,0.0,17.9634
51,ca-2015-115742,2015-04-18,2015-04-22,standard class,dp-13000,darren powers,consumer,united states,new albany,indiana,47150,central,off-la-10002762,office supplies,labels,avery 485,75.18,6,0.0,35.3346
53,ca-2015-115742,2015-04-18,2015-04-22,standard class,dp-13000,darren powers,consumer,united states,new albany,indiana,47150,central,fur-ch-10003061,furniture,chairs,"global leather task chair, black",89.99,1,0.0,17.0981
54,ca-2016-105816,2016-12-11,2016-12-17,standard class,jm-15265,janet molinari,corporate,united states,new york city,new york,10024,east,off-fa-10000304,office supplies,fasteners,advantus push pins,15.26,7,0.0,6.2566
55,ca-2016-105816,2016-12-11,2016-12-17,standard class,jm-15265,janet molinari,corporate,united states,new york city,new york,10024,east,tec-ph-10002447,technology,phones,at&t cl83451 4-handset telephone,1029.95,5,0.0,298.6855
56,ca-2016-111682,2016-06-17,2016-06-18,first class,tb-21055,ted butterfield,consumer,united states,troy,new york,12180,east,off-st-10000604,office supplies,storage,home/office personal file carts,208.56,6,0.0,52.14
57,ca-2016-111682,2016-06-17,2016-06-18,first class,tb-21055,ted butterfield,consumer,united states,troy,new york,12180,east,off-pa-10001569,office supplies,paper,xerox 232,32.4,5,0.0,15.552
58,ca-2016-111682,2016-06-17,2016-06-18,first class,tb-21055,ted butterfield,consumer,united states,troy,new york,12180,east,fur-ch-10003968,furniture,chairs,novimex turbo task chair,319.41,5,0.1,7.098
59,ca-2016-111682,2016-06-17,2016-06-18,first class,tb-21055,ted butterfield,consumer,united states,troy,new york,12180,east,off-pa-10000587,office supplies,paper,"array parchment paper, assorted colors",14.56,2,0.0,6.9888
60,ca-2016-111682,2016-06-17,2016-06-18,first class,tb-21055,ted butterfield,consumer,united states,troy,new york,12180,east,tec-ac-10002167,technology,accessories,imation 8gb micro traveldrive usb 2.0 flash drive,30.0,2,0.0,3.3
61,ca-2016-111682,2016-06-17,2016-06-18,first class,tb-21055,ted butterfield,consumer,united states,troy,new york,12180,east,off-bi-10001460,office supplies,binders,plastic binding combs,48.48,4,0.2,16.362
62,ca-2016-111682,2016-06-17,2016-06-18,first class,tb-21055,ted butterfield,consumer,united states,troy,new york,12180,east,off-ar-10001868,office supplies,art,prang dustless chalk sticks,1.68,1,0.0,0.84
63,ca-2015-135545,2015-11-24,2015-11-30,standard class,km-16720,kunst miller,consumer,united states,los angeles,california,90004,west,tec-ac-10004633,technology,accessories,"verbatim 25 gb 6x blu-ray single layer recordable disc, 3/pack",13.98,2,0.0,6.1512
64,ca-2015-135545,2015-11-24,2015-11-30,standard class,km-16720,kunst miller,consumer,united states,los angeles,california,90004,west,off-bi-10001078,office supplies,binders,"acco presstex data binder with storage hooks, dark blue, 14 7/8"" x 11""",25.824,6,0.2,9.3612
65,ca-2015-135545,2015-11-24,2015-11-30,standard class,km-16720,kunst miller,consumer,united states,los angeles,california,90004,west,off-pa-10003892,office supplies,paper,xerox 1943,146.73,3,0.0,68.9631
67,us-2015-164175,2015-04-30,2015-05-05,standard class,ps-18970,paul stevenson,home office,united states,chicago,illinois,60610,central,fur-ch-10001146,furniture,chairs,"global value mid-back manager's chair, gray",213.115,5,0.3,-15.2225
68,ca-2014-106376,2014-12-05,2014-12-10,standard class,bs-11590,brendan sweed,corporate,united states,gilbert,arizona,85234,west,off-ar-10002671,office supplies,art,"hunt boston model 1606 high-volume electric pencil sharpener, beige",1113.024,8,0.2,111.3024
69,ca-2014-106376,2014-12-05,2014-12-10,standard class,bs-11590,brendan sweed,corporate,united states,gilbert,arizona,85234,west,tec-ph-10002726,technology,phones,nettalk duo voip telephone service,167.968,4,0.2,62.988
70,ca-2016-119823,2016-06-04,2016-06-06,first class,kd-16270,karen daniels,consumer,united states,springfield,virginia,22153,south,off-pa-10000482,office supplies,paper,"snap-a-way black print carbonless ruled speed letter, triplicate",75.88,2,0.0,35.6636
71,ca-2016-106075,2016-09-18,2016-09-23,standard class,hm-14980,henry macallister,consumer,united states,new york city,new york,10009,east,off-bi-10004654,office supplies,binders,avery binding system hidden tab executive style index sets,4.616,1,0.2,1.731
72,ca-2017-114440,2017-09-14,2017-09-17,second class,tb-21520,tracy blumstein,consumer,united states,jackson,michigan,49201,central,off-pa-10004675,office supplies,paper,"telephone message books with fax/mobile section, 5 1/2"" x 3 3/16""",19.05,3,0.0,8.763
73,us-2015-134026,2015-04-26,2015-05-02,standard class,je-15745,joel eaton,consumer,united states,memphis,tennessee,38109,south,fur-ch-10000513,furniture,chairs,high-back leather manager's chair,831.936,8,0.2,-114.3912
74,us-2015-134026,2015-04-26,2015-05-02,standard class,je-15745,joel eaton,consumer,united states,memphis,tennessee,38109,south,fur-fu-10003708,furniture,furnishings,"tenex traditional chairmats for medium pile carpet, standard lip, 36"" x 48""",97.04,2,0.2,1.213
75,us-2015-134026,2015-04-26,2015-05-02,standard class,je-15745,joel eaton,consumer,united states,memphis,tennessee,38109,south,off-st-10004123,office supplies,storage,safco industrial wire shelving system,72.784,1,0.2,-18.196
76,us-2017-118038,2017-12-09,2017-12-11,first class,kb-16600,ken brennan,corporate,united states,houston,texas,77041,central,off-bi-10004182,office supplies,binders,economy binders,1.248,3,0.8,-1.9344
77,us-2017-118038,2017-12-09,2017-12-11,first class,kb-16600,ken brennan,corporate,united states,houston,texas,77041,central,fur-fu-10000260,furniture,furnishings,"6"" cubicle wall clock, black",9.708,3,0.6,-5.8248
78,us-2017-118038,2017-12-09,2017-12-11,first class,kb-16600,ken brennan,corporate,united states,houston,texas,77041,central,off-st-10000615,office supplies,storage,"simplifile personal file, black granite, 15w x 6-15/16d x 11-1/4h",27.24,3,0.2,2.724
79,us-2014-147606,2014-11-26,2014-12-01,second class,je-15745,joel eaton,consumer,united states,houston,texas,77070,central,fur-fu-10003194,furniture,furnishings,"eldon expressions desk accessory, wood pencil holder, oak",19.3,5,0.6,-14.475
80,ca-2016-127208,2016-06-12,2016-06-15,first class,sc-20770,stewart carmichael,corporate,united states,decatur,alabama,35601,south,off-ap-10002118,office supplies,appliances,"1.7 cubic foot compact ""cube"" office refrigerators",208.16,1,0.0,56.2032
81,ca-2016-127208,2016-06-12,2016-06-15,first class,sc-20770,stewart carmichael,corporate,united states,decatur,alabama,35601,south,off-bi-10002309,office supplies,binders,avery heavy-duty ezd  binder with locking rings,16.74,3,0.0,8.0352
82,ca-2014-139451,2014-10-12,2014-10-16,standard class,dn-13690,duane noonan,consumer,united states,san francisco,california,94122,west,off-ar-10002053,office supplies,art,"premium writing pencils, soft, #2 by central association for the blind",14.9,5,0.0,4.172
84,ca-2015-149734,2015-09-03,2015-09-08,standard class,jc-16105,julie creighton,corporate,united states,durham,north carolina,27707,south,off-en-10000927,office supplies,envelopes,jet-pak recycled peel 'n' seal padded mailers,200.984,7,0.2,62.8075
85,us-2017-119662,2017-11-13,2017-11-16,first class,cs-12400,christopher schild,home office,united states,chicago,illinois,60623,central,off-st-10003656,office supplies,storage,safco industrial wire shelving,230.376,3,0.2,-48.9549
86,ca-2017-140088,2017-05-28,2017-05-30,second class,po-18865,patrick o'donnell,consumer,united states,columbia,south carolina,29203,south,fur-ch-10000863,furniture,chairs,novimex swivel fabric task chair,301.96,2,0.0,33.2156
87,ca-2017-155558,2017-10-26,2017-11-02,standard class,pg-18895,paul gonzalez,consumer,united states,rochester,minnesota,55901,central,tec-ac-10001998,technology,accessories,logitech ls21 speaker system - pc multimedia - 2.1-ch - wired,19.99,1,0.0,6.7966
88,ca-2017-155558,2017-10-26,2017-11-02,standard class,pg-18895,paul gonzalez,consumer,united states,rochester,minnesota,55901,central,off-la-10000134,office supplies,labels,avery 511,6.16,2,0.0,2.9568
89,ca-2016-159695,2016-04-05,2016-04-10,second class,gm-14455,gary mitchum,home office,united states,houston,texas,77095,central,off-st-10003442,office supplies,storage,eldon portable mobile manager,158.368,7,0.2,13.8572
90,ca-2016-109806,2016-09-17,2016-09-22,standard class,js-15685,jim sink,corporate,united states,los angeles,california,90036,west,off-ar-10004930,office supplies,art,turquoise lead holder with pocket clip,20.1,3,0.0,6.633
91,ca-2016-109806,2016-09-17,2016-09-22,standard class,js-15685,jim sink,corporate,united states,los angeles,california,90036,west,tec-ph-10004093,technology,phones,panasonic kx-ts550,73.584,2,0.2,8.2782
92,ca-2016-109806,2016-09-17,2016-09-22,standard class,js-15685,jim sink,corporate,united states,los angeles,california,90036,west,off-pa-10000304,office supplies,paper,xerox 1995,6.48,1,0.0,3.1104
93,ca-2015-149587,2015-01-31,2015-02-05,second class,kb-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,off-pa-10003177,office supplies,paper,xerox 1999,12.96,2,0.0,6.2208
94,ca-2015-149587,2015-01-31,2015-02-05,second class,kb-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,fur-fu-10003799,furniture,furnishings,"seth thomas 13 1/2"" wall clock",53.34,3,0.0,16.5354
95,ca-2015-149587,2015-01-31,2015-02-05,second class,kb-16315,karl braun,consumer,united states,minneapolis,minnesota,55407,central,off-bi-10002852,office supplies,binders,ibico standard transparent covers,32.96,2,0.0,16.1504
96,us-2017-109484,2017-11-06,2017-11-12,standard class,rb-19705,roger barcio,home office,united states,portland,oregon,97206,west,off-bi-10004738,office supplies,binders,flexible leather- look classic collection ring binder,5.682,1,0.7,-3.788
97,ca-2017-161018,2017-11-09,2017-11-11,second class,pn-18775,parhena norris,home office,united states,new york city,new york,10009,east,fur-fu-10000629,furniture,furnishings,9-3/4 diameter round wall clock,96.53,7,0.0,40.5426
98,ca-2017-157833,2017-06-17,2017-06-20,first class,kd-16345,katherine ducich,consumer,united states,san francisco,california,94122,west,off-bi-10001721,office supplies,binders,trimflex flexible post binders,51.312,3,0.2,17.9592
99,ca-2016-149223,2016-09-06,2016-09-11,standard class,er-13855,elpida rittenbach,corporate,united states,saint paul,minnesota,55106,central,off-ap-10000358,office supplies,appliances,fellowes basic home/office series surge protectors,77.88,6,0.0,22.5852
100,ca-2016-158568,2016-08-29,2016-09-02,standard class,rb-19465,rick bensley,home office,united states,chicago,illinois,60610,central,off-pa-10003256,office supplies,paper,avery personal creations heavyweight cards,64.624,7,0.2,22.6184
101,ca-2016-158568,2016-08-29,2016-09-02,standard class,rb-19465,rick bensley,home office,united states,chicago,illinois,60610,central,tec-ac-10001767,technology,accessories,sandisk ultra 64 gb microsdhc class 10 memory card,95.976,3,0.2,-10.7973
102,ca-2016-158568,2016-08-29,2016-09-02,standard class,rb-19465,rick bensley,home office,united states,chicago,illinois,60610,central,off-bi-10002609,office supplies,binders,avery hidden tab dividers for binding systems,1.788,3,0.8,-3.0396
103,ca-2016-129903,2016-12-01,2016-12-04,second class,gz-14470,gary zandusky,consumer,united states,rochester,minnesota,55901,central,off-pa-10004040,office supplies,paper,universal premium white copier/laser paper (20lb. and 87 bright),23.92,4,0.0,11.7208
104,us-2015-156867,2015-11-13,2015-11-17,standard class,lc-16870,lena cacioppo,consumer,united states,aurora,colorado,80013,west,tec-ac-10001552,technology,accessories,logitech k350 2.4ghz wireless keyboard,238.896,6,0.2,-26.8758
105,us-2015-156867,2015-11-13,2015-11-17,standard class,lc-16870,lena cacioppo,consumer,united states,aurora,colorado,80013,west,fur-fu-10004006,furniture,furnishings,"deflect-o duramat lighweight, studded, beveled mat for low pile carpeting",102.36,3,0.2,-3.8385
106,us-2015-156867,2015-11-13,2015-11-17,standard class,lc-16870,lena cacioppo,consumer,united states,aurora,colorado,80013,west,off-bi-10002794,office supplies,binders,"avery trapezoid ring binder, 3"" capacity, black, 1040 sheets",36.882,3,0.7,-25.8174
107,ca-2017-119004,2017-11-23,2017-11-28,standard class,jm-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,tec-ac-10003499,technology,accessories,memorex mini travel drive 8 gb usb 2.0 flash drive,74.112,8,0.2,17.6016
108,ca-2017-119004,2017-11-23,2017-11-28,standard class,jm-15250,janet martin,consumer,united states,charlotte,north carolina,28205,south,tec-ph-10002844,technology,phones,speck products candyshell flip case,27.992,1,0.2,2.0994
110,ca-2015-129476,2015-10-15,2015-10-20,standard class,pa-19060,pete armstrong,home office,united states,orland park,illinois,60462,central,tec-ac-10000844,technology,accessories,logitech gaming g510s - keyboard,339.96,5,0.2,67.992
111,ca-2017-146780,2017-12-25,2017-12-30,standard class,cv-12805,cynthia voltz,corporate,united states,new york city,new york,10035,east,fur-fu-10001934,furniture,furnishings,magnifier swing arm lamp,41.96,2,0.0,10.9096
112,ca-2016-128867,2016-11-03,2016-11-10,standard class,cl-12565,clay ludtke,consumer,united states,urbandale,iowa,50322,central,off-ar-10000380,office supplies,art,"hunt powerhouse electric pencil sharpener, blue",75.96,2,0.0,22.788
113,ca-2016-128867,2016-11-03,2016-11-10,standard class,cl-12565,clay ludtke,consumer,united states,urbandale,iowa,50322,central,off-bi-10003981,office supplies,binders,"avery durable plastic 1"" binders",27.24,6,0.0,13.3476
114,ca-2014-115259,2014-08-25,2014-08-27,second class,rc-19960,ryan crowe,consumer,united states,columbus,ohio,43229,east,off-fa-10000621,office supplies,fasteners,"oic colored binder clips, assorted sizes",40.096,14,0.2,14.5348
115,ca-2014-115259,2014-08-25,2014-08-27,second class,rc-19960,ryan crowe,consumer,united states,columbus,ohio,43229,east,off-en-10002600,office supplies,envelopes,"redi-strip #10 envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.652
116,ca-2014-115259,2014-08-25,2014-08-27,second class,rc-19960,ryan crowe,consumer,united states,columbus,ohio,43229,east,off-pa-10004965,office supplies,paper,xerox 1921,23.976,3,0.2,7.4925
117,ca-2014-115259,2014-08-25,2014-08-27,second class,rc-19960,ryan crowe,consumer,united states,columbus,ohio,43229,east,off-en-10002504,office supplies,envelopes,"tyvek  top-opening peel & seel envelopes, plain white",130.464,6,0.2,44.0316
118,ca-2015-110457,2015-03-02,2015-03-06,standard class,dk-13090,dave kipp,consumer,united states,seattle,washington,98103,west,fur-ta-10001768,furniture,tables,hon racetrack conference tables,787.53,3,0.0,165.3813
119,us-2015-136476,2015-04-05,2015-04-10,standard class,gg-14650,greg guthrie,corporate,united states,bristol,tennessee,37620,south,off-bi-10003650,office supplies,binders,gbc docubind 300 electric binding machine,157.794,1,0.7,-115.7156
120,ca-2016-103730,2016-06-12,2016-06-15,first class,sc-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,fur-fu-10002157,furniture,furnishings,artistic insta-plaque,47.04,3,0.0,18.3456
121,ca-2016-103730,2016-06-12,2016-06-15,first class,sc-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,off-bi-10003910,office supplies,binders,dxl angle-view binders with locking rings by samsill,30.84,4,0.0,13.878
122,ca-2016-103730,2016-06-12,2016-06-15,first class,sc-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,off-st-10000777,office supplies,storage,"companion letter/legal file, black",226.56,6,0.0,63.4368
123,ca-2016-103730,2016-06-12,2016-06-15,first class,sc-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,off-en-10002500,office supplies,envelopes,globe weis peel & seel first class envelopes,115.02,9,0.0,51.759
124,ca-2016-103730,2016-06-12,2016-06-15,first class,sc-20725,steven cartwright,consumer,united states,wilmington,delaware,19805,east,tec-ph-10003875,technology,phones,kld oscar ii style snap-on ultra thin side flip synthetic leather cover case for htc one htc m7,68.04,7,0.0,19.7316
125,us-2014-152030,2014-12-26,2014-12-28,second class,ad-10180,alan dominguez,home office,united states,houston,texas,77041,central,fur-ch-10004063,furniture,chairs,global deluxe high-back manager's chair,600.558,3,0.3,-8.5794
127,us-2017-107272,2017-11-05,2017-11-12,standard class,ts-21610,troy staebel,consumer,united states,phoenix,arizona,85023,west,off-bi-10003274,office supplies,binders,"avery durable slant ring binders, no labels",2.388,2,0.7,-1.8308
128,us-2017-107272,2017-11-05,2017-11-12,standard class,ts-21610,troy staebel,consumer,united states,phoenix,arizona,85023,west,off-st-10002974,office supplies,storage,"trav-l-file heavy-duty shuttle ii, black",243.992,7,0.2,30.499
129,us-2016-125969,2016-11-06,2016-11-10,second class,ls-16975,lindsay shagiari,home office,united states,los angeles,california,90004,west,fur-ch-10001146,furniture,chairs,"global task chair, black",81.424,2,0.2,-9.1602
130,us-2016-125969,2016-11-06,2016-11-10,second class,ls-16975,lindsay shagiari,home office,united states,los angeles,california,90004,west,fur-fu-10003773,furniture,furnishings,eldon cleatmat plus chair mats for high pile carpets,238.56,3,0.0,26.2416
131,us-2017-164147,2017-02-02,2017-02-05,first class,dw-13585,dorothy wardle,corporate,united states,columbus,ohio,43229,east,tec-ph-10002293,technology,phones,anker 36w 4-port usb wall charger travel power adapter for iphone 5s 5c 5,59.97,5,0.4,-11.994
132,us-2017-164147,2017-02-02,2017-02-05,first class,dw-13585,dorothy wardle,corporate,united states,columbus,ohio,43229,east,off-pa-10002377,office supplies,paper,xerox 1916,78.304,2,0.2,29.364
133,us-2017-164147,2017-02-02,2017-02-05,first class,dw-13585,dorothy wardle,corporate,united states,columbus,ohio,43229,east,off-fa-10002780,office supplies,fasteners,staples,21.456,9,0.2,6.9732
